No. 	Tipster 	W 	D 	L 	Win % 	Profit % 	Balance
1. 	infosys 	417.0 	47.0 	351.0 	54% 	359.4% 	4593938
2. 	Bc2012 	167.0 	16.0 	102.0 	62% 	330.6% 	4306250
3. 	anh_o0o 	353.5 	30.0 	279.5 	56% 	326.3% 	4263438
4. 	backkom 	372.5 	46.0 	345.0 	52% 	316.8% 	4168438
5. 	KeNixLiVeRpOoL 	131.5 	14.0 	92.5 	59% 	313.9% 	4139375
6. (-) 	hkchen168 	447.5 	50.0 	368.0 	55% 	306.8% 	4067813
7. 	slow_me_down 	262.5 	34.0 	206.5 	56% 	295.4% 	3954063

No. 	Tipster 	W 	D 	L 	Win % 	Profit % 	Balance
4. 	backkom 	372.5 	46.0 	345.0 	52% 	316.8% 	4168438
5. 	KeNixLiVeRpOoL 	131.5 	14.0 	92.5 	59% 	313.9% 	4139375
6. (-) 	hkchen168 	447.5 	50.0 	368.0 	55% 	306.8% 	4067813
7. 	slow_me_down 	262.5 	34.0 	206.5 	56% 	295.4% 	3954063
8. 	R e a | M u r c i a 	423.5 	52.0 	362.0 	54% 	288.1% 	3881000
9. (-) 	AKoa 	281.5 	40.0 	233.0 	55% 	284.2% 	3841563
10. (-) 	topthree 	275.5 	17.0 	209.0 	57% 	273.3% 	3733438

No. 	Tipster 	W 	D 	L 	Win % 	Profit % 	Balance
7. 	slow_me_down 	262.5 	34.0 	206.5 	56% 	295.4% 	3954063
8. 	R e a | M u r c i a 	423.5 	52.0 	362.0 	54% 	288.1% 	3881000
9. (-) 	AKoa 	281.5 	40.0 	233.0 	55% 	284.2% 	3841563
10. (-) 	topthree 	275.5 	17.0 	209.0 	57% 	273.3% 	3733438
11. 	nandha3 	564.0 	67.0 	518.5 	52% 	272.8% 	3727688
12. 	?? 	244.5 	23.0 	177.0 	58% 	265.3% 	3652500
13. 	informer 	408.0 	48.0 	345.0 	54% 	264.3% 	3643313

No. 	Tipster 	W 	D 	L 	Win % 	Profit % 	Balance
10. (-) 	topthree 	275.5 	17.0 	209.0 	57% 	273.3% 	3733438
11. 	nandha3 	564.0 	67.0 	518.5 	52% 	272.8% 	3727688
12. 	?? 	244.5 	23.0 	177.0 	58% 	265.3% 	3652500
13. 	informer 	408.0 	48.0 	345.0 	54% 	264.3% 	3643313
14. 	Wolf007 	550.5 	60.0 	499.0 	52% 	261.3% 	3612813
15. 	DogBra 	566.5 	69.0 	516.0 	52% 	256.3% 	3563313
16. 	cheelim 	317.0 	39.0 	251.0 	56% 	253.7% 	3536563


No. 	Tipster 	W 	D 	L 	Win % 	Profit % 	Balance
1. 	infosys 	417.0 	47.0 	351.0 	54% 	359.4% 	4593938
2. 	Bc2012 	167.0 	16.0 	102.0 	62% 	330.6% 	4306250
3. 	anh_o0o 	353.5 	30.0 	279.5 	56% 	326.3% 	4263438
4. 	backkom 	372.5 	46.0 	345.0 	52% 	316.8% 	4168438
5. 	KeNixLiVeRpOoL 	131.5 	14.0 	92.5 	59% 	313.9% 	4139375
6. (-) 	hkchen168 	447.5 	50.0 	368.0 	55% 	306.8% 	4067813
7. 	slow_me_down 	262.5 	34.0 	206.5 	56% 	295.4% 	3954063
8. 	R e a | M u r c i a 	423.5 	52.0 	362.0 	54% 	288.1% 	3881000
9. (-) 	AKoa 	281.5 	40.0 	233.0 	55% 	284.2% 	3841563
10. (-) 	topthree 	275.5 	17.0 	209.0 	57% 	273.3% 	3733438
11. 	nandha3 	564.0 	67.0 	518.5 	52% 	272.8% 	3727688
12. 	?? 	244.5 	23.0 	177.0 	58% 	265.3% 	3652500
13. 	informer 	408.0 	48.0 	345.0 	54% 	264.3% 	3643313
14. 	Wolf007 	550.5 	60.0 	499.0 	52% 	261.3% 	3612813
15. 	DogBra 	566.5 	69.0 	516.0 	52% 	256.3% 	3563313
16. 	cheelim 	317.0 	39.0 	251.0 	56% 	253.7% 	3536563
